Gene_id	Gene_Symbol	chr	pos	estimate	pvalue	fdr
ENSG00000000003	TSPAN6	X	100627108	0,926127593678534	0,0238333691934274	0,84613740671208
ENSG00000000005	TNMD	X	100584936	-0,277157038527825	0,651684139359835	0,99310702225313
ENSG00000000419	DPM1	20	50934867	0,0647764233530026	0,917581810520159	0,996321568821951
ENSG00000000457	SCYL3	1	169849631	-0,338760551493026	0,577074531010723	0,99310702225313
ENSG00000000460	C1orf112	1	169662007	-0,538368500323082	0,349254805904827	0,982218422781925
ENSG00000001036	FUCA2	6	143494812	-0,698631139237295	0,189366242887496	0,965421393857074
ENSG00000001084	GCLC	6	53497341	-0,128971433852662	0,83624485191355	0,993532078360381
ENSG00000001167	NFYA	6	41072974	-0,287604052182669	0,638923997245676	0,99310702225313
ENSG00000001460	STPG1	1	24356999	-0,186028921975857	0,764513956910613	0,993532078360381
ENSG00000001461	NIPAL3	1	24415802	0,683182352745565	0,203586035720275	0,965421393857074
ENSG00000001497	LAS1L	X	65438549	0,12957697357994	0,835480324324725	0,993532078360381
ENSG00000001561	ENPP4	6	46129989	-0,153855824333484	0,804880307721675	0,993532078360381
ENSG00000001617	SEMA3F	3	50155045	-0,0999264231919984	0,872981783235938	0,994328133257614
ENSG00000001626	CFTR	7	117287120	0,581068537997552	0,304208756617631	0,982113493014118
ENSG00000001629	ANKIB1	7	92245974	0,348464170241649	0,565471836836708	0,99310702225313
ENSG00000001631	KRIT1	7	92197498	-0,992774158078522	0,000736538173859173	0,656543723498294
ENSG00000002016	RAD52	12	911736	0,207231839864541	0,738045131969367	0,99310702225313
ENSG00000002079	MYH16	7	99238829	-0,576497838319877	0,308954519607768	0,982113493014118
ENSG00000002330	BAD	11	64269830	0,429729741219354	0,470191548902454	0,991253956739197
ENSG00000002549	LAP3	4	17577198	-0,299739635137492	0,624153915718072	0,99310702225313
ENSG00000002586	CD99	X	2691187	0,397654709157687	0,507369921642035	0,991424729607108
ENSG00000002587	HS3ST1	4	11393150	-0,202996537157213	0,743323026326608	0,99310702225313
ENSG00000002745	WNT16	7	121325367	-0,440551294352877	0,457786059135438	0,990272963782988
ENSG00000002746	HECW1	7	43112629	-0,616074049085617	0,268509194108366	0,972143037094319
ENSG00000002822	MAD1L1	7	1815793	-0,0370350165618023	0,952856334039835	0,999509917921462
ENSG00000002834	LASP1	17	38869859	0,31774369535092	0,602350699420602	0,99310702225313
ENSG00000002919	SNX11	17	48103357	0,0116702409234782	0,985141325052546	0,999555859778735
ENSG00000003056	M6PR	12	8940361	0,602933485538364	0,281773075262454	0,974451076196833
ENSG00000003096	KLHL13	X	117897813	-0,331635050882732	0,585622114706617	0,99310702225313
ENSG00000003137	CYP26B1	2	72129238	0,0517892791760121	0,93408933030344	0,998004036160359
ENSG00000003147	ICA1	7	8113184	-0,569234005227171	0,316535088907625	0,982113493014118
ENSG00000003249	DBNDD1	16	90004871	0,518357106146508	0,370886511933179	0,982870867522504
ENSG00000003393	ALS2	2	201700267	-0,91518598046298	0,0292706013380322	0,84613740671208
ENSG00000003400	CASP10	2	201182872	-0,624228221922191	0,260364588945862	0,97054450955783
ENSG00000003402	CFLAR	2	201116154	-0,996894087972506	0,000207689790285742	0,520741707796445
ENSG00000003436	TFPI	2	187464230	-0,59035959727348	0,294620618915515	0,976013485466734
ENSG00000003509	NDUFAF7	2	37231631	0,25559847097987	0,678140990728359	0,99310702225313
